trace_id,model,interface,task_id,family,fault_type,fault_class,method,method_display,repair,prefix_used,replay_n,n_success,success_rate,success_ci,per_seed_success,residual_failure,extra_model_calls,extra_tool_calls,elapsed_sec
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,65.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,prompted_reflection,Reflection,preconditiongate,0,3,2,0.667,"[0.21,0.94]","[1, 1, 0]",0.333,3,9.33,76.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,predicted_repair,Predicted,rollbackretry,2,3,2,0.667,"[0.21,0.94]","[0, 1, 1]",0.333,3,8.33,61.2
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,oracle_repair,Oracle,rollbackretry,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,57.6
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,clarifygate,ClarifyGate,clarifygate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,preconditiongate,PreconditionGate,preconditiongate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,57.8
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,evidencegate,EvidenceGate,evidencegate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,rollbackretry,RollbackRetry,rollbackretry,2,3,2,0.667,"[0.21,0.94]","[1, 1, 0]",0.333,3,8.33,60.9
qwen2.5:7b::tool_compiler::calendar_hard_02::50001::stale_memory,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,stale_memory,persistent,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,none,None,none,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.00,74.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,prompted_reflection,Reflection,preconditiongate,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,10.67,87.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,predicted_repair,Predicted,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,66.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,oracle_repair,Oracle,preconditiongate,2,3,2,0.667,"[0.21,0.94]","[1, 0, 1]",0.333,3,7.67,54.9
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,clarifygate,ClarifyGate,clarifygate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,preconditiongate,PreconditionGate,preconditiongate,2,3,1,0.333,"[0.06,0.79]","[0, 0, 1]",0.667,3,8.33,60.6
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,evidencegate,EvidenceGate,evidencegate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,rollbackretry,RollbackRetry,rollbackretry,2,3,1,0.333,"[0.06,0.79]","[0, 1, 0]",0.667,3,9.00,68.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50002::precondition_skip,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,precondition_skip,persistent,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,none,None,none,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,65.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,prompted_reflection,Reflection,preconditiongate,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.33,75.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,predicted_repair,Predicted,clarifygate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,4.33,26.5
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,oracle_repair,Oracle,clarifygate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,4.00,23.9
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,clarifygate,ClarifyGate,clarifygate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,4.00,24.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,evidencegate,EvidenceGate,evidencegate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,rollbackretry,RollbackRetry,rollbackretry,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,67.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50003::date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,date_ambiguity,persistent,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,none,None,none,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.33,76.8
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,prompted_reflection,Reflection,preconditiongate,0,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,12.00,99.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,predicted_repair,Predicted,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,6.00,40.7
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,oracle_repair,Oracle,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,6.00,40.4
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,clarifygate,ClarifyGate,clarifygate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,evidencegate,EvidenceGate,evidencegate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,6.00,40.7
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,rollbackretry,RollbackRetry,rollbackretry,2,3,1,0.333,"[0.06,0.79]","[1, 0, 0]",0.667,3,9.00,66.9
qwen2.5:7b::tool_compiler::calendar_hard_02::50004::wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,wrong_id,persistent,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,1.00,0.0
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,none,None,none,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,10.00,66.7
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,4.00,31.9
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,prompted_reflection,Reflection,preconditiongate,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,5.00,39.6
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,predicted_repair,Predicted,clarifygate,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.67,64.4
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,oracle_repair,Oracle,clarifygate,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.33,62.3
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,clarifygate,ClarifyGate,clarifygate,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,10.00,63.8
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,preconditiongate,PreconditionGate,preconditiongate,3,3,1,0.333,"[0.06,0.79]","[0, 0, 1]",0.667,3,9.33,58.9
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,evidencegate,EvidenceGate,evidencegate,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,10.00,63.7
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,rollbackretry,RollbackRetry,rollbackretry,3,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,47.1
llama3.1:8b::tool_compiler::calendar_medium_00::200000::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,soft_date_ambiguity,soft,boundaryshield,BoundaryShield,boundaryshield,3,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,10.00,63.2
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,none,None,none,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,7.00,46.4
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,3.00,22.4
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,prompted_reflection,Reflection,preconditiongate,0,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,8.00,61.8
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,predicted_repair,Predicted,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,61.6
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,oracle_repair,Oracle,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,61.4
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,clarifygate,ClarifyGate,clarifygate,2,3,2,0.667,"[0.21,0.94]","[1, 0, 1]",0.333,3,7.00,45.1
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,60.7
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,evidencegate,EvidenceGate,evidencegate,2,3,1,0.333,"[0.06,0.79]","[0, 1, 0]",0.667,3,8.67,57.9
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,rollbackretry,RollbackRetry,rollbackretry,2,3,1,0.333,"[0.06,0.79]","[1, 0, 0]",0.667,3,7.00,46.5
qwen2.5:7b::tool_compiler::inventory_medium_00::200008::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_untrusted_instruction,soft,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,61.2
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,none,None,none,2,3,2,0.667,"[0.21,0.94]","[1, 1, 0]",0.333,3,7.67,50.8
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,3.00,22.3
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,prompted_reflection,Reflection,preconditiongate,0,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,8.00,61.8
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,predicted_repair,Predicted,evidencegate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,60.1
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,oracle_repair,Oracle,evidencegate,2,3,1,0.333,"[0.06,0.79]","[1, 0, 0]",0.667,3,8.33,55.4
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,clarifygate,ClarifyGate,clarifygate,2,3,1,0.333,"[0.06,0.79]","[0, 1, 0]",0.667,3,9.00,59.2
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,62.5
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,evidencegate,EvidenceGate,evidencegate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,60.4
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,rollbackretry,RollbackRetry,rollbackretry,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,61.9
qwen2.5:7b::tool_compiler::inventory_medium_00::200009::soft_wrong_id,qwen2.5:7b,tool_compiler,inventory_medium_00,inventory,soft_wrong_id,soft,boundaryshield,BoundaryShield,boundaryshield,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,61.4
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,none,None,none,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.00,67.0
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,generic_retry,Retry,none,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.00,73.8
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,prompted_reflection,Reflection,preconditiongate,0,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,11.00,90.6
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,predicted_repair,Predicted,clarifygate,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,8.00,57.8
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,oracle_repair,Oracle,clarifygate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,66.5
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,clarifygate,ClarifyGate,clarifygate,2,3,2,0.667,"[0.21,0.94]","[0, 1, 1]",0.333,3,7.33,52.5
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,preconditiongate,PreconditionGate,preconditiongate,2,3,0,0.000,"[0.00,0.56]","[0, 0, 0]",1.000,3,9.00,66.0
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,evidencegate,EvidenceGate,evidencegate,2,3,2,0.667,"[0.21,0.94]","[1, 0, 1]",0.333,3,8.00,57.7
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,rollbackretry,RollbackRetry,rollbackretry,2,3,1,0.333,"[0.06,0.79]","[0, 1, 0]",0.667,3,9.00,67.0
qwen2.5:7b::tool_compiler::calendar_hard_03::200010::soft_date_ambiguity,qwen2.5:7b,tool_compiler,calendar_hard_03,calendar,soft_date_ambiguity,soft,boundaryshield,BoundaryShield,boundaryshield,2,3,3,1.000,"[0.44,1.00]","[1, 1, 1]",0.000,3,9.00,66.4
