trace_id,model,interface,task_id,family,difficulty,fault_type,fault_prefix_index,mfp_category,mfp_index,delta_mfp_index,fault_to_mfp_distance,p0_failure_rate,failure_subtype,tested_prefixes,fault_class
qwen2.5:7b::tool_compiler::calendar_hard_02::400022::soft_untrusted_instruction,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_untrusted_instruction,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
qwen2.5:7b::tool_compiler::calendar_hard_02::400023::soft_wrong_id,qwen2.5:7b,tool_compiler,calendar_hard_02,calendar,hard,soft_wrong_id,2,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 2, ""failure_rate"": 0.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400024::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 0.5}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400025::soft_missing_field,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_missing_field,3,nontrivial_delta_mfp,3,3,0,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400027::soft_stale_memory,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_stale_memory,3,nontrivial_delta_mfp,3,3,0,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400029::soft_wrong_id,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_wrong_id,3,nontrivial_delta_mfp,3,3,0,0.500,premature_final,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400030::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_date_ambiguity,3,nontrivial_delta_mfp,3,3,0,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400031::soft_missing_field,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_missing_field,3,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_00::400034::soft_untrusted_instruction,llama3.1:8b,tool_compiler,calendar_medium_00,calendar,medium,soft_untrusted_instruction,3,unstable,,,,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 0.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_01::400036::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_01,calendar,medium,soft_date_ambiguity,3,unstable,,,,0.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.5}]",soft
llama3.1:8b::tool_compiler::calendar_medium_01::400042::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_medium_01,calendar,medium,soft_date_ambiguity,3,unstable,,,,0.000,premature_final,"[{""prefix_index"": 0, ""failure_rate"": 0.0}, {""prefix_index"": 3, ""failure_rate"": 0.5}]",soft
llama3.1:8b::tool_compiler::calendar_medium_01::400046::soft_untrusted_instruction,llama3.1:8b,tool_compiler,calendar_medium_01,calendar,medium,soft_untrusted_instruction,3,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 3, ""failure_rate"": 0.0}]",soft
llama3.1:8b::tool_compiler::calendar_medium_01::400047::soft_wrong_id,llama3.1:8b,tool_compiler,calendar_medium_01,calendar,medium,soft_wrong_id,3,unstable,,,,0.500,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 0.5}, {""prefix_index"": 3, ""failure_rate"": 0.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400048::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_date_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400049::soft_missing_field,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_missing_field,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400050::soft_precondition_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_precondition_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400051::soft_stale_memory,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_stale_memory,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400052::soft_untrusted_instruction,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_untrusted_instruction,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400053::soft_wrong_id,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_wrong_id,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400054::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_date_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400055::soft_missing_field,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_missing_field,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400056::soft_precondition_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_precondition_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400057::soft_stale_memory,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_stale_memory,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400058::soft_untrusted_instruction,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_untrusted_instruction,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_00::400059::soft_wrong_id,llama3.1:8b,tool_compiler,calendar_hard_00,calendar,hard,soft_wrong_id,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_01::400060::soft_date_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_01,calendar,hard,soft_date_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_01::400061::soft_missing_field,llama3.1:8b,tool_compiler,calendar_hard_01,calendar,hard,soft_missing_field,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_01::400062::soft_precondition_ambiguity,llama3.1:8b,tool_compiler,calendar_hard_01,calendar,hard,soft_precondition_ambiguity,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
llama3.1:8b::tool_compiler::calendar_hard_01::400063::soft_stale_memory,llama3.1:8b,tool_compiler,calendar_hard_01,calendar,hard,soft_stale_memory,7,prefix0,0,,,1.000,loop_or_timeout,"[{""prefix_index"": 0, ""failure_rate"": 1.0}, {""prefix_index"": 7, ""failure_rate"": 1.0}]",soft
